Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,Income,Approved
1,5,0.04,1,1,6,0,0.04,0,0,0,0,0,0,0
0,4,11.75,0,0,0,0,0.25,0,0,0,1,0,0,0
0,4,0.54,0,0,0,0,1.75,0,1,1,1,0,5,0
1,4,0.5,0,0,1,1,0.085,0,0,0,1,2,0,0
1,3,2.04,1,1,13,7,1.5,0,0,0,0,0,1,0
1,6,5.835,0,0,9,0,5.5,0,0,0,0,0,150,1
1,6,12.835,0,0,2,0,0.5,0,0,0,0,0,2,0
0,4,0.835,0,0,12,0,0.5,0,0,0,1,0,117,1
1,5,2.0,1,1,11,1,2.0,0,0,0,0,0,17,1
0,2,2.5,0,0,3,1,0.21,0,0,0,0,0,246,1
0,3,1.04,0,0,12,0,0.665,0,0,0,0,0,237,1
0,5,10.665,0,0,8,1,0.085,0,1,12,1,0,3,1
1,6,7.25,0,0,6,0,0.04,0,1,1,0,0,1,0
0,4,10.21,0,0,13,7,0.0,0,0,0,0,0,50,1
0,2,1.25,0,0,0,0,0.0,0,0,0,0,0,0,0
1,4,0.29,0,0,5,0,0.29,0,0,0,0,0,364,1
1,3,1.0,1,1,1,1,3.0,0,0,0,0,0,537,1
1,2,3.29,0,0,3,0,0.335,0,0,0,1,0,2,0
1,3,0.75,1,1,1,0,0.585,0,0,0,0,0,3,0
1,4,3.29,0,0,6,0,3.5,0,0,0,1,2,0,0
1,3,10.085,1,1,11,1,1.25,0,0,0,0,0,0,0
0,2,0.75,0,0,0,0,2.0,0,1,2,1,0,394,1
0,3,13.5,1,1,13,7,2.0,0,1,1,1,0,1,0
1,6,0.205,0,0,12,0,0.04,0,0,0,0,0,750,1
1,6,3.375,0,0,0,1,8.29,0,0,0,1,0,0,0
1,2,0.0,0,0,9,0,1.25,1,1,1,0,0,0,0
0,4,4.46,0,0,8,1,3.04,1,1,6,0,0,560,1
0,2,0.5,0,0,8,1,1.5,1,0,0,0,0,824,1
1,1,1.54,0,0,9,0,3.75,1,1,5,1,0,3,1
1,1,5.625,0,0,9,0,1.71,1,0,0,0,2,0,0
1,4,4.0,0,0,6,0,2.5,1,0,0,1,0,0,0
1,2,1.04,0,0,7,1,6.5,1,0,0,1,0,31285,1
0,1,11.585,0,0,2,0,0.04,1,0,0,0,0,1349,1
1,1,0.5,1,1,5,1,3.96,1,0,0,0,0,314,1
1,4,4.915,1,1,9,0,3.165,1,0,0,1,0,1442,1
1,6,0.83,0,0,0,1,2.165,0,0,0,1,0,0,0
1,1,1.835,0,0,0,1,4.335,1,0,0,0,0,200,1
0,3,6.0,0,0,5,0,1.0,1,0,0,1,0,0,0
1,4,6.04,0,0,5,0,0.04,0,0,0,0,0,2690,1
0,3,10.5,0,0,8,0,5.0,1,1,7,1,0,0,1
1,1,4.415,1,1,5,0,0.25,1,1,10,1,0,0,1
1,1,0.875,0,0,6,0,0.96,1,1,3,1,0,0,0
0,4,5.875,0,0,8,0,3.17,1,1,10,0,0,245,1
1,4,0.25,0,0,1,1,0.665,1,0,0,1,0,0,0
0,3,8.585,0,0,2,1,0.75,1,1,7,0,0,0,1
1,5,11.25,0,0,0,0,2.5,1,1,17,0,0,1208,1
1,4,1.0,0,0,0,0,0.835,1,0,0,0,2,0,0
0,5,8.0,0,0,0,0,7.875,1,1,6,1,0,1260,1
0,3,14.5,0,0,10,1,3.085,1,1,1,0,0,11,1
0,1,6.5,0,0,8,0,0.5,1,1,3,1,0,0,0
0,2,0.585,0,0,0,1,1.5,1,1,2,0,0,0,1
0,5,13.0,0,0,3,2,5.165,1,1,9,1,0,0,1
1,4,18.5,0,0,1,2,15.0,1,1,17,1,0,0,1
1,2,8.5,0,0,11,1,7.0,1,1,3,0,0,0,1
1,3,1.04,0,0,9,0,5.0,1,1,6,1,0,10000,1
1,6,14.79,0,0,12,0,5.04,1,1,5,1,0,0,1
1,2,9.79,0,0,10,1,7.96,1,1,8,0,0,0,1
1,2,7.585,0,0,3,2,7.585,1,1,15,1,0,5000,1
0,3,5.125,0,0,11,0,5.0,1,0,0,1,0,4000,1
0,6,10.75,0,0,8,0,0.415,1,1,5,1,0,560,1
1,4,1.5,0,0,9,0,2.0,1,1,11,1,0,35,1
1,3,1.585,0,0,2,1,1.835,1,1,12,1,0,713,1
0,6,11.75,0,0,10,1,0.5,1,1,2,1,0,551,1
1,2,0.585,1,1,2,0,0.25,1,1,2,0,0,500,0
1,6,9.415,0,0,13,7,14.415,1,1,11,1,0,300,1
1,5,9.17,0,0,0,0,4.5,1,1,12,1,0,221,1
1,2,15.0,0,0,0,1,5.335,1,1,11,0,0,2283,1
1,2,1.415,0,0,9,1,0.75,1,1,1,0,0,100,0
1,2,13.915,0,0,9,0,8.625,1,1,6,1,0,0,1
1,3,28.0,1,1,0,0,28.5,1,1,40,0,0,15,1
1,3,6.75,0,0,0,1,2.625,1,1,11,1,0,284,1
0,6,2.04,1,1,8,1,0.125,1,1,23,1,0,1236,1
1,3,4.46,0,0,2,1,6.04,1,1,3,0,0,300,1
1,1,1.54,0,0,3,2,3.5,0,0,0,0,0,0,0
1,4,0.665,0,0,0,0,0.165,0,0,0,0,0,0,0
0,3,0.5,0,0,0,1,0.875,1,0,0,1,0,0,0
1,3,1.0,0,0,8,0,1.75,1,0,0,1,0,0,0
1,5,2.04,0,0,9,0,0.04,1,0,0,1,0,5800,1
1,3,2.5,0,0,9,0,0.0,1,0,0,1,0,200,0
1,3,3.0,0,0,2,1,7.415,1,0,0,1,0,0,0
1,4,11.625,1,1,9,0,0.835,1,0,0,1,0,300,1
1,2,0.0,0,0,2,0,0.085,1,0,0,0,0,0,0
1,1,0.5,0,0,3,1,5.0,1,0,0,1,0,0,0
1,1,4.5,0,0,10,1,5.75,0,0,0,1,2,0,0
1,2,3.0,0,0,8,1,6.0,1,1,11,0,0,0,1
1,4,12.25,0,0,6,0,1.25,1,1,4,1,0,0,1
1,6,16.165,0,0,1,0,3.0,1,1,9,0,0,730,1
0,6,0.79,1,1,8,0,1.5,1,1,2,1,0,400,1
0,3,0.835,0,0,8,0,1.585,1,1,1,0,0,0,0
1,3,4.25,0,0,2,0,4.29,1,1,1,1,0,0,1
1,4,1.54,0,0,2,0,1.54,1,1,1,1,0,50000,1
0,3,1.0,0,0,0,0,2.0,1,1,11,0,0,456,1
1,4,0.375,0,0,6,0,0.25,1,1,3,0,0,15108,1
1,5,6.5,0,0,9,1,1.46,1,1,7,0,0,2954,1
1,2,25.125,0,0,10,1,1.625,1,1,1,1,0,500,1
1,2,6.5,0,0,5,0,6.29,1,1,15,0,0,11202,1
1,3,7.04,0,0,6,0,14.0,1,1,6,1,0,1332,1
0,5,10.335,0,0,2,1,0.335,1,1,1,1,0,50,1
1,3,6.21,0,0,8,0,0.04,1,1,1,0,0,300,1
1,6,12.5,0,0,2,0,1.21,1,1,67,1,0,258,1
